strategy,zone_id,usable_racks,usable_slots,occupied_racks,distinct_skus,workload_expected_visits,normalized_workload_expected_visits_per_slot,attributed_resource_flow,normalized_traffic_workload
Pure affinity,Z05,8,96,8,96,14680.0,152.91666666666666,316459.66666666657,3296.45486111111
Pure affinity,Z06,14,168,14,136,23872.0,142.0952380952381,669405.5000000001,3984.556547619048
Pure affinity,Z07,4,48,4,32,3490.0,72.70833333333333,116124.0,2419.25
Pure affinity,Z08,3,36,1,12,3612.0,100.33333333333333,111370.0,3093.6111111111113
Pure affinity,Z09,8,96,8,96,26076.0,271.625,512824.9999999999,5341.927083333332
Pure affinity,Z10,12,144,12,144,30493.0,211.75694444444446,796471.6666666667,5531.053240740741
Pure affinity,Z11,8,96,1,12,2761.0,28.760416666666668,45556.499999999985,474.54687499999983
Pure affinity,Z12,14,168,14,168,57318.0,341.17857142857144,1403088.666666667,8351.718253968256
Pure affinity,Z13,4,48,4,48,10264.0,213.83333333333334,306528.8333333333,6386.01736111111
Pure affinity,Z14,8,96,8,96,52492.0,546.7916666666666,902092.3333333333,9396.795138888889
Pure affinity,Z15,14,168,14,168,61675.0,367.11309523809524,1429937.3333333337,8511.53174603175
Pure affinity,Z16,4,48,4,48,8941.0,186.27083333333334,259313.8333333333,5402.371527777777
Pure affinity,Z17,8,96,8,96,48312.0,503.25,822468.9999999999,8567.385416666666
Pure affinity,Z18,14,168,14,162,51117.0,304.26785714285717,1159777.5,6903.4375
Pure affinity,Z19,4,48,4,37,5347.0,111.39583333333333,154303.50000000003,3214.6562500000005
Pure affinity,Z20,8,96,8,96,31831.0,331.5729166666667,545357.5000000001,5680.807291666668
Pure affinity,Z21,14,168,14,139,29101.0,173.2202380952381,666025.5,3964.4375
Pure affinity,Z22,4,48,4,24,1860.0,38.75,54010.00000000009,1125.208333333335
Pure affinity,Z23,8,96,8,96,8641.0,90.01041666666667,151807.8333333333,1581.331597222222
Pure affinity,Z24,12,144,12,61,8298.0,57.625,207402.6666666667,1440.2962962962965
Pure affinity,Z25,4,48,4,17,1626.0,33.875,48124.0,1002.5833333333334
Pure affinity,Z26,8,96,8,93,4303.0,44.822916666666664,78222.16666666664,814.8142361111109
Pure affinity,Z27,14,168,14,28,3452.0,20.547619047619047,86750.33333333337,516.371031746032
Pure affinity,Z28,15,180,7,5,770.0,4.277777777777778,24523.33333333332,136.24074074074068
Pure affinity,Z29,8,96,8,76,3081.0,32.09375,63443.166666666744,660.8663194444453
Pure affinity,Z30,14,168,14,4,1520.0,9.047619047619047,41112.333333333314,244.71626984126974
Pure affinity,Z31,8,96,6,2,716.0,7.458333333333333,16428.666666666664,171.13194444444443
Pure affinity,Z32,12,144,11,3,1096.0,7.611111111111111,32439.333333333336,225.27314814814815
Pure affinity,Z33,8,96,0,0,0.0,0.0,0.0,0.0
Pure affinity,Z34,14,168,0,0,0.0,0.0,0.0,0.0
Pure affinity,Z35,8,96,0,0,0.0,0.0,0.0,0.0
Pure affinity,Z36,14,168,0,0,0.0,0.0,0.0,0.0
Traffic aware - zone balance off,Z01,9,108,9,59,29429.0,272.49074074074076,729342.8333333333,6753.174382716049
Traffic aware - zone balance off,Z02,14,168,14,82,29763.0,177.16071428571428,891958.4999999999,5309.276785714285
Traffic aware - zone balance off,Z03,4,48,4,24,5721.0,119.1875,204522.99999999997,4260.895833333333
Traffic aware - zone balance off,Z04,15,180,15,82,19188.0,106.6,577056.5,3205.8694444444445
Traffic aware - zone balance off,Z05,8,96,8,63,22620.0,235.625,488387.0,5087.364583333333
Traffic aware - zone balance off,Z06,14,168,14,86,24449.0,145.5297619047619,672122.3333333333,4000.728174603174
Traffic aware - zone balance off,Z07,4,48,4,29,3821.0,79.60416666666667,126961.16666666667,2645.0243055555557
Traffic aware - zone balance off,Z08,3,36,3,27,7647.0,212.41666666666666,238610.66666666672,6628.074074074076
Traffic aware - zone balance off,Z09,8,96,8,56,25767.0,268.40625,504681.83333333326,5257.102430555555
Traffic aware - zone balance off,Z10,12,144,12,83,24418.0,169.56944444444446,639566.3333333333,4441.4328703703695
Traffic aware - zone balance off,Z11,8,96,8,70,26622.0,277.3125,483678.66666666657,5038.319444444443
Traffic aware - zone balance off,Z12,14,168,14,87,34492.0,205.3095238095238,839777.6666666665,4998.676587301587
Traffic aware - zone balance off,Z13,4,48,4,31,5756.0,119.91666666666667,172873.66666666657,3601.5347222222204
Traffic aware - zone balance off,Z14,8,96,8,75,30670.0,319.4791666666667,523285.3333333334,5450.88888888889
Traffic aware - zone balance off,Z15,14,168,14,102,36182.0,215.36904761904762,843342.6666666667,5019.896825396826
Traffic aware - zone balance off,Z16,4,48,4,30,6576.0,137.0,190959.3333333334,3978.3194444444457
Traffic aware - zone balance off,Z17,8,96,8,67,31945.0,332.7604166666667,540320.5,5628.338541666667
Traffic aware - zone balance off,Z18,14,168,14,99,37099.0,220.82738095238096,862668.4999999999,5134.931547619047
Traffic aware - zone balance off,Z19,4,48,4,32,7023.0,146.3125,203482.5,4239.21875
Traffic aware - zone balance off,Z20,8,96,8,71,30568.0,318.4166666666667,517488.0000000001,5390.500000000001
Traffic aware - zone balance off,Z21,14,168,14,108,35698.0,212.48809523809524,829404.0,4936.928571428572
Traffic aware - zone balance off,Z22,4,48,4,31,6679.0,139.14583333333334,193482.4999999999,4030.8854166666647
Traffic aware - zone balance off,Z23,8,96,8,70,29351.0,305.7395833333333,520685.49999999953,5423.8072916666615
Traffic aware - zone balance off,Z24,12,144,12,90,28591.0,198.54861111111111,700230.8333333328,4862.714120370367
Traffic aware - zone balance off,Z25,4,48,4,32,6078.0,126.625,181119.0,3773.3125
Traffic aware - zone balance off,Z26,8,96,8,67,26914.0,280.3541666666667,504441.33333333343,5254.5972222222235
Traffic aware - zone balance off,Z27,14,168,14,106,31288.0,186.23809523809524,783747.6666666665,4665.164682539682
Traffic aware - zone balance off,Z28,15,180,15,77,13209.0,73.38333333333334,447065.16666666645,2483.6953703703693
Traffic aware - zone balance off,Z29,8,96,8,70,23530.0,245.10416666666666,484557.6666666664,5047.475694444442
Traffic aware - zone balance off,Z30,14,168,14,85,27777.0,165.33928571428572,744259.5,4430.116071428572
Traffic aware - zone balance off,Z31,8,96,8,59,21411.0,223.03125,486715.49999999977,5069.953124999997
Traffic aware - zone balance off,Z32,12,144,12,85,18397.0,127.75694444444444,537970.8333333337,3735.9085648148175
Traffic aware - zone balance off,Z33,8,96,8,62,17742.0,184.8125,456882.0,4759.1875
Traffic aware - zone balance off,Z34,14,168,14,80,16379.0,97.49404761904762,522835.16666666645,3112.114087301586
Traffic aware - zone balance off,Z35,8,96,8,55,13154.0,137.02083333333334,377030.666666667,3927.402777777781
Traffic aware - zone balance off,Z36,14,168,14,73,11474.0,68.29761904761905,399648.6666666667,2378.8611111111113
Traffic aware - zone balance on,Z01,9,108,9,56,18819.0,174.25,468721.50000000006,4340.01388888889
Traffic aware - zone balance on,Z02,14,168,14,86,36629.0,218.0297619047619,1094606.4999999998,6515.51488095238
Traffic aware - zone balance on,Z03,4,48,4,24,9211.0,191.89583333333334,327789.50000000006,6828.947916666668
Traffic aware - zone balance on,Z04,15,180,15,108,32398.0,179.98888888888888,974540.3333333335,5414.112962962964
Traffic aware - zone balance on,Z05,8,96,8,62,17680.0,184.16666666666666,375626.3333333333,3912.774305555555
Traffic aware - zone balance on,Z06,14,168,14,94,35861.0,213.45833333333334,971863.3333333333,5784.900793650793
Traffic aware - zone balance on,Z07,4,48,4,37,9209.0,191.85416666666666,305242.6666666667,6359.222222222223
Traffic aware - zone balance on,Z08,3,36,3,27,8454.0,234.83333333333334,263964.5,7332.347222222223
Traffic aware - zone balance on,Z09,8,96,8,61,19037.0,198.30208333333334,367384.1666666666,3826.9184027777774
Traffic aware - zone balance on,Z10,12,144,12,84,26076.0,181.08333333333334,671474.0,4663.013888888889
Traffic aware - zone balance on,Z11,8,96,8,64,19879.0,207.07291666666666,357056.4999999999,3719.3385416666656
Traffic aware - zone balance on,Z12,14,168,14,91,31431.0,187.08928571428572,748629.1666666666,4456.125992063492
Traffic aware - zone balance on,Z13,4,48,4,33,9708.0,202.25,291642.8333333332,6075.892361111109
Traffic aware - zone balance on,Z14,8,96,8,54,15994.0,166.60416666666666,268818.6666666668,2800.1944444444457
Traffic aware - zone balance on,Z15,14,168,14,93,34335.0,204.375,779528.4999999999,4640.0505952380945
Traffic aware - zone balance on,Z16,4,48,4,37,10788.0,224.75,312149.99999999994,6503.124999999999
Traffic aware - zone balance on,Z17,8,96,8,52,16962.0,176.6875,276879.99999999994,2884.166666666666
Traffic aware - zone balance on,Z18,14,168,14,92,31104.0,185.14285714285714,703245.0,4185.982142857143
Traffic aware - zone balance on,Z19,4,48,4,32,8619.0,179.5625,248559.49999999994,5178.322916666665
Traffic aware - zone balance on,Z20,8,96,8,65,21661.0,225.63541666666666,364713.5,3799.0989583333335
Traffic aware - zone balance on,Z21,14,168,14,89,29625.0,176.33928571428572,669313.5,3984.0089285714284
Traffic aware - zone balance on,Z22,4,48,4,27,8540.0,177.91666666666666,246882.00000000015,5143.375000000003
Traffic aware - zone balance on,Z23,8,96,8,60,19514.0,203.27083333333334,339692.99999999994,3538.4687499999995
Traffic aware - zone balance on,Z24,12,144,12,80,25949.0,180.20138888888889,624237.1666666666,4334.980324074074
Traffic aware - zone balance on,Z25,4,48,4,34,7662.0,159.625,228136.3333333333,4752.840277777777
Traffic aware - zone balance on,Z26,8,96,8,59,18945.0,197.34375,350468.16666666657,3650.7100694444434
Traffic aware - zone balance on,Z27,14,168,14,107,35508.0,211.35714285714286,874738.3333333333,5206.775793650793
Traffic aware - zone balance on,Z28,15,180,15,102,34685.0,192.69444444444446,1184154.8333333333,6578.637962962963
Traffic aware - zone balance on,Z29,8,96,8,55,15753.0,164.09375,320624.16666666657,3339.8350694444434
Traffic aware - zone balance on,Z30,14,168,14,88,27739.0,165.11309523809524,728914.8333333333,4338.778769841269
Traffic aware - zone balance on,Z31,8,96,8,68,19343.0,201.48958333333334,431887.1666666664,4498.824652777775
Traffic aware - zone balance on,Z32,12,144,12,90,26629.0,184.92361111111111,767844.8333333328,5332.255787037033
Traffic aware - zone balance on,Z33,8,96,8,48,12578.0,131.02083333333334,318409.66666666645,3316.767361111109
Traffic aware - zone balance on,Z34,14,168,14,93,27551.0,163.99404761904762,862294.1666666665,5132.703373015872
Traffic aware - zone balance on,Z35,8,96,8,57,18630.0,194.0625,528867.0000000001,5509.031250000001
Traffic aware - zone balance on,Z36,14,168,14,85,25828.0,153.73809523809524,883980.3333333333,5261.787698412698
