Item or SKU,UOM,UOM ConversionQty,Date,Store ID,UOM status
107452,EA1,0.1,2023-06-06 00:00:00,TMNU,COMMON
107452,EA,1,2023-01-18 00:00:00,IPMG,UNCOMMON

107573,BX,20,2023-01-03 00:00:00,PANJ,COMMON
107573,EA,1,2023-03-14 00:00:00,KOLA,UNCOMMON

109969,PK,12,2023-01-07 00:00:00,BSAR,COMMON
109969,EA,1,2023-03-09 00:00:00,KJIN,UNCOMMON

110172,PK,100,2023-01-10 00:00:00,STAL,COMMON
110172,EA,1,2023-02-17 00:00:00,TMNU,UNCOMMON

110180,EA1,10,2023-01-17 00:00:00,BKSD,COMMON
110180,EA,1,2023-02-13 00:00:00,BTKW,UNCOMMON

110215,PK,2,2023-01-03 00:00:00,KPAS,COMMON
110215,EA,1,2023-01-06 00:00:00,WKKR,UNCOMMON

110220,EA1,10,2023-01-11 00:00:00,PSKL,COMMON
110220,EA,1,2023-07-12 00:00:00,WSBJ,UNCOMMON

110262,PK,3,2023-01-03 00:00:00,KCTJ,COMMON
110262,EA,1,2023-05-08 00:00:00,TMSJ,UNCOMMON

110284,PK,2,2023-01-03 00:00:00,KPAS,COMMON
110284,EA,1,2023-02-18 00:00:00,PKMT,UNCOMMON

110324,PK,6,2023-01-04 00:00:00,MMST,COMMON
110324,EA,1,2023-02-25 00:00:00,SS02,UNCOMMON

110355,EA1,10,2023-01-03 00:00:00,KULA,COMMON
110355,EA,1,2023-01-12 00:00:00,INTM,UNCOMMON

110377,PK,10,2023-01-04 00:00:00,TMNU,COMMON
110377,EA,1,2023-04-17 00:00:00,TMEA,UNCOMMON

110428,PK,10,2023-02-09 00:00:00,JKTP,COMMON
110428,EA,1,2023-01-16 00:00:00,WRA2,UNCOMMON

110436,PK,10,2023-01-21 00:00:00,SRM2,COMMON
110436,EA,1,2023-04-17 00:00:00,TMEA,UNCOMMON

110469,PK,10,2023-01-07 00:00:00,PSTR,COMMON
110469,EA,1,2023-04-17 00:00:00,TMSJ,UNCOMMON

110473,PK,5,2023-01-03 00:00:00,BKIN,COMMON
110473,EA,1,2023-03-21 00:00:00,BKBR,UNCOMMON

110489,EA2,10,2023-03-23 00:00:00,TPTR,COMMON
110489,EA,1,2023-04-17 00:00:00,TMSJ,UNCOMMON

110512,BX,6,2023-02-17 00:00:00,BAMP,COMMON
110512,PK,2,2023-01-03 00:00:00,TSDA,UNCOMMON

110542,EA1,10,2023-01-03 00:00:00,MMPL,COMMON
110542,EA,1,2023-04-11 00:00:00,KKDG,UNCOMMON

111212,PK,10,2023-01-03 00:00:00,KBES,COMMON
111212,EA,1,2023-02-08 00:00:00,TMML,UNCOMMON

111237,PK,10,2023-01-03 00:00:00,WAP2,COMMON
111237,EA,1,2023-05-08 00:00:00,TMSJ,UNCOMMON

111238,PK,10,2023-01-03 00:00:00,WAP2,COMMON
111238,EA,1,2023-05-08 00:00:00,TMSJ,UNCOMMON

111266,PK1,10,2023-03-03 00:00:00,TSDA,COMMON
111266,PK,50,2023-02-13 00:00:00,DPER,UNCOMMON

111279,EA1,10,2023-05-28 00:00:00,IPMG,COMMON
111279,EA,1,2023-02-09 00:00:00,ALMA,UNCOMMON

111283,PK,10,2023-01-18 00:00:00,TSTK,COMMON
111283,EA,1,2023-05-08 00:00:00,TMSJ,UNCOMMON

111321,BX,100,2023-01-13 00:00:00,IPMG,COMMON
111321,EA,1,2023-05-08 00:00:00,TMSJ,UNCOMMON

111330,PK,20,2023-01-03 00:00:00,SEBR,COMMON
111330,EA,1,2023-05-02 00:00:00,KPAS,UNCOMMON

111377,PK,8,2023-01-03 00:00:00,WRAU,COMMON
111377,EA,1,2023-05-08 00:00:00,TMSJ,UNCOMMON

111380,PK,10,2023-01-03 00:00:00,KJIN,COMMON
111380,EA1,2,2023-05-08 00:00:00,TMSJ,UNCOMMON

111383,PK,6,2023-01-16 00:00:00,BDBT,COMMON
111383,EA,1,2023-04-17 00:00:00,TMEA,UNCOMMON

112061,BX,20,2023-01-18 00:00:00,ALAV,COMMON
112061,BX5,5,2023-01-16 00:00:00,SRIM,UNCOMMON

112203,PK,3,2023-01-03 00:00:00,KJRH,COMMON
112203,EA,1,2023-03-20 00:00:00,MMIM,UNCOMMON

112266,EA1,10,2023-01-11 00:00:00,MSHM,COMMON
112266,EA,1,2023-06-06 00:00:00,DEPE,UNCOMMON

112272,EA1,10,2023-01-03 00:00:00,KBES,COMMON
112272,EA,1,2023-05-08 00:00:00,TMSJ,UNCOMMON

112302,PK,12,2023-01-10 00:00:00,TTSH,COMMON
112302,EA,1,2023-05-08 00:00:00,TMSJ,UNCOMMON

112352,PK,25,2023-06-17 00:00:00,PERL,COMMON
112352,EA,1,2023-04-17 00:00:00,TMEA,UNCOMMON

113209,BX,20,2023-01-18 00:00:00,WSBJ,COMMON
113209,EA,1,2023-07-12 00:00:00,WHSB-DCPOI,UNCOMMON

113225,PK,100,2023-03-08 00:00:00,JMNS,COMMON
113225,EA,1,2023-07-04 00:00:00,WHSB-DCPOI,UNCOMMON

115584,EA6,6,2023-02-17 00:00:00,TMTM,COMMON
115584,EA,1,2023-02-18 00:00:00,BHAU,UNCOMMON

115794,EA1,10,2023-01-03 00:00:00,SPRG,COMMON
115794,EA,1,2023-02-08 00:00:00,IPMG,UNCOMMON

115951,PK,100,2023-01-03 00:00:00,STT3,COMMON
115951,EA,1,2023-04-17 00:00:00,TMEA,UNCOMMON

117010,EA,1,2023-04-21 00:00:00,BDBT,COMMON
117010,PK,50,2023-05-25 00:00:00,SEMY,UNCOMMON

117011,PK,12,2023-05-25 00:00:00,TJKR,COMMON
117011,EA,1,2023-02-17 00:00:00,TMML,UNCOMMON

117030,EA1,10,2023-02-03 00:00:00,TSGB,COMMON
117030,PK,100,2023-03-23 00:00:00,IPGD,UNCOMMON

117084,EA,1,2023-01-11 00:00:00,BSAR,COMMON
117084,BX,20,2023-02-20 00:00:00,DSKD,UNCOMMON

118396,PK,50,2023-01-10 00:00:00,WJER,COMMON
118396,EA,1,2023-04-06 00:00:00,MAYA,UNCOMMON

119644,EA,1,2023-01-10 00:00:00,TKLN,COMMON
119644,BX,20,2023-06-20 00:00:00,RIMB,UNCOMMON

120257,PK,100,2023-01-03 00:00:00,WMTK,COMMON
120257,EA,1,2023-04-17 00:00:00,TMEA,UNCOMMON

121914,PK,100,2023-02-07 00:00:00,TMML,COMMON
121914,EA,1,2023-04-27 00:00:00,TMST,UNCOMMON

122675,PK,50,2023-01-09 00:00:00,MAYA,COMMON
122675,EA,1,2023-05-20 00:00:00,WHSB-DCPOI,UNCOMMON

122778,PK,10,2023-03-10 00:00:00,GLPT,COMMON
122778,EA,1,2023-04-17 00:00:00,TMEA,UNCOMMON

123128,PK,10,2023-01-10 00:00:00,PULA,COMMON
123128,EA,1,2023-04-11 00:00:00,TMSJ,UNCOMMON

125413,PK,10,2023-01-03 00:00:00,TSDA,COMMON
125413,EA,1,2023-06-27 00:00:00,NMLK,UNCOMMON

125583,PK,10,2023-01-03 00:00:00,BDMC,COMMON
125583,EA,1,2023-01-19 00:00:00,JMNS,UNCOMMON

127405,PK,4,2023-01-03 00:00:00,WBEN,COMMON
127405,EA1,2,2023-02-01 00:00:00,SB15,UNCOMMON

131653,PK,12,2023-01-03 00:00:00,WRAU,COMMON
131653,EA,1,2023-04-17 00:00:00,MDAN,UNCOMMON

133306,PK,12,2023-01-03 00:00:00,WTML,COMMON
133306,EA,1,2023-03-21 00:00:00,RIMB,UNCOMMON

134484,PK,10,2023-03-30 00:00:00,KPBR,COMMON
134484,EA,1,2023-06-01 00:00:00,BDMC,UNCOMMON

134660,PK,10,2023-01-03 00:00:00,KPAS,COMMON
134660,EA,1,2023-02-17 00:00:00,JKTP,UNCOMMON

134698,PK,3,2023-01-27 00:00:00,WSBJ,COMMON
134698,EA,1,2023-02-02 00:00:00,JJNG,UNCOMMON

134817,PK,3,2023-04-01 00:00:00,MMTI,COMMON
134817,EA,1,2023-01-16 00:00:00,WBEN,UNCOMMON

136877,EA,1,2023-03-08 00:00:00,PSTR,COMMON
136877,PK,20,2023-02-01 00:00:00,INTM,UNCOMMON

136957,PK,24,2023-03-06 00:00:00,PJOT,COMMON
136957,EA,1,2023-02-10 00:00:00,VVSM,UNCOMMON

137562,BX,10,2023-01-17 00:00:00,MAYA,COMMON
137562,EA,1,2023-07-25 00:00:00,ALAV,UNCOMMON

139147,EA,1,2023-04-17 00:00:00,TMML,COMMON
139147,PK,72,2023-05-18 00:00:00,BDRW,UNCOMMON

140082,PK1,10,2023-01-18 00:00:00,TSTK,COMMON
140082,EA,1,2023-02-20 00:00:00,TMAB,UNCOMMON

140084,CTN,50,2023-01-06 00:00:00,MMJJ,COMMON
140084,EA,1,2023-03-21 00:00:00,ARAU,UNCOMMON
